id,category,text,correct_answer,answers
1,Wiedza Ogólna,Pierwotnym kolorem Coca-Coli była zieleń.,Fałsz,Prawda-Fałsz-
2,Wiedza Ogólna,Która niezbędna przyprawa jest również znana jako chrzan japoński?,Wasabi,Mentsuyu-Karashi-Ponzu-Wasabi-
3,Wiedza Ogólna,Kiedy powstał „YouTube”?,14 lutego 2005 r.,12 września 2005 r.-14 lutego 2005 r.-22 maja 2004 r.-19 lipca 2009 r.-
4,Wiedza Ogólna,Furby został wydany w 1998 roku.,Prawda,Prawda-Fałsz-
5,Wiedza Ogólna,Ile kolorów ma tęcza?,7,7-10-9-8-
6,Wiedza Ogólna,Jaka jest jednostka waluty w Laosie?,Kip,Korona-Dolar-Kip-Rubel-
7,Wiedza Ogólna,Ogórki to zazwyczaj ponad 90% wody.,Prawda,Prawda-Fałsz-
8,Wiedza Ogólna,Jakie jest hiszpańskie słowo „osioł”?,Burro,Burro-Perro-Toro-Caballo-
9,Wiedza Ogólna,Jakie jest szwedzkie słowo „okno”?,Fönster,Hål-Ruta-Fönster-Skärm-
10,Wiedza Ogólna,Który muzyk współpracował z amerykańskim producentem Porterem Robinsonem i wydał w 2016 roku piosenkę „Shelter”?,Madeon,Mat Zo-Zedd-Madeon-deadmau5-
11,Wiedza Ogólna,Grupa Lego powstała w 1932 roku.,Prawda,Prawda-Fałsz-
12,Wiedza Ogólna,W językach skandynawskich litera Å oznacza rzekę.,Prawda,Prawda-Fałsz-
13,Wiedza Ogólna,"Rumuński należy do rodziny języków romańskich, dzielonych z francuskim, hiszpańskim, portugalskim i włoskim.",Prawda,Prawda-Fałsz-
14,Wiedza Ogólna,Co to jest Proporczyk?,Flaga,Flaga-Rodzaj żywności-Okno-Lina-
15,Wiedza Ogólna,"Jak przetłumaczyć łaciński zwrot „Veni, vidi, vici”?","przybyłem, zobaczyłem, zwyciężyłem","nie widzę zła, nie słyszę zła, nie mówię zła-życie, wolność, szczęście-przybyłem, zobaczyłem, zwyciężyłem-przeszły, teraźniejszy, przyszły-"
16,Wiedza Ogólna,Tlenek diwodoru został zakazany ze względu na zagrożenia dla zdrowia po odkryciu w 1983 roku w basenach i wodzie pitnej.,Fałsz,Prawda-Fałsz-
17,Wiedza Ogólna,Którego z poniższych prezydentów nie ma na Górze Rushmore?,John F. Kennedy,Abraham Lincoln-John F. Kennedy-Theodore Roosevelt-Thomas Jefferson-
18,Wiedza Ogólna,Który kraj jeździ lewą stroną drogi?,Japonia,Rosja-Niemcy-Chiny-Japonia-
19,Wiedza Ogólna,"Medal Fieldsa, jedna z najbardziej poszukiwanych nagród w matematyce, jest przyznawany co ile lat?",4,6-3-4-5-
20,Wiedza Ogólna,Która sieć fast foodów ma najwięcej lokalizacji na świecie?,Subway,Subway-McDonalds-Starbucks-KFC-
21,Wiedza Ogólna,Ping-pong pochodzi z Anglii,Prawda,Prawda-Fałsz-
22,Filmy,Który z poniższych filmów nie powstał na podstawie powieści Stephena Kinga?,Coś,Carrie-Coś-Zielona Mila-Misery-
23,Filmy,W którym filmie animowanym po raz pierwszy pojawił się celebryta jako aktor głosowy?,Aladyn,Jakubek i brzoskwinia olbrzymka-Aladyn-Toy Story-Dzwonnik z Notre Dame-
24,Filmy,Kto napisał i wyreżyserował film „Pluton” z 1986 roku?,Oliver Stone,Stanley Kubrick-Francis Ford Coppola-Michael Cimino-Oliver Stone-
25,Filmy,Która aktorka zatańczyła twista z Johnem Travoltą w „Pulp Fiction”?,Uma Thurman,Bridget Fonda-Pam Grier-Kathy Griffin-Uma Thurman-
26,Filmy,Kto użyczył głosu postaci Draco w filmie „DragonHeart” z 1996 roku?,Sean Connery,Brian Thompson-Pete Postlethwaite-Sean Connery-Dennis Quaid-
27,Filmy,"Kto wyreżyserował filmy „Pulp Fiction”, „Wściekłe psy” i „Django”?",Quentin Tarantino,Martin Scorsese-James Cameron-Quentin Tarantino-Steven Spielberg-
28,Filmy,"Jak nazywa się postać grana przez Jamesa Deana w filmie ""Buntownik bez powodu"" z 1955 roku?",Jim Stark,Jim Kane-Jim Stark-Ned Stark-Frank Stark-
29,Filmy,"Jak nazywa się robot z filmu science fiction z 1951 roku „Dzień, w którym zatrzymała się Ziemia”?",Gort,Robby-Box-Gort-Colossus-
30,Filmy,"Jak nazywa się pies, który grał Toto w filmie ""Czarnoksiężnik z krainy Oz"" z 1939 roku?",Terry,Terry-Teddy-Toto-Tommy-
31,Filmy,W oryginalnym scenariuszu „Matrixa” maszyny wykorzystywały ludzi jako dodatkową moc obliczeniową zamiast baterii.,Prawda,Prawda-Fałsz-
32,Filmy,Który film w 2012 roku zwyciężył we wszystkich kategoriach 32. edycji „Złotej Maliny”?,Jack i Jill,Dziewczyna z tatuażem-Jack i Jill-Thor-Jak zostać królem-
33,Filmy,"Shaquille O'Neal pojawił się w 1997 roku w filmie ""Kosmiczny mecz"".",Fałsz,Prawda-Fałsz-
34,Filmy,Kto grał Freddy'ego Krugera w reboocie Koszmaru z ulicy Wiązów z 2010 roku?,Jackie Earle Haley,Tyler Mane-Jackie Earle Haley-Gunnar Hansen-Derek Mears-
35,Filmy,Który z tych filmów akcji jest kręcony w całości za jednym ujęciem?,Victoria,Leon zawodowiec-Ip Man 2-Dziedzictwo Bourne’a-Victoria-
36,Filmy,Ewan McGregor nie znał tytułu drugiego prequela Gwiezdnych wojen w trakcie i po kręceniu filmu.,Prawda,Prawda-Fałsz-
37,Filmy,W oryginalnej trylogii Star Wars Alec Guinness użyczył głosu Darthowi Vaderowi.,Fałsz,Prawda-Fałsz-
38,Filmy,W którym roku w kinach pojawił się film Jamesa Camerona „Titanic”?,1997,1997-1998-1999-1996-
39,Filmy,Joan Cusack zagrała w filmie katastroficznym z 2009 roku „2012”.,Fałsz,Prawda-Fałsz-
40,Filmy,Za rolę w jakim filmie Leonardo Dicaprio zdobył swojego pierwszego Oscara dla najlepszego aktora?,Zjawa,Zjawa-Wilk z Wall Street-Wyspa tajemnic-Incepcja-
41,Filmy,Aktor Tommy Chong odbył karę więzienia.,Prawda,Prawda-Fałsz-
42,Filmy,Kto wyreżyserował film „Obcy”?,Ridley Scott,James Cameron-Michael Bay-Ridley Scott-Christopher Nolan-
43,Filmy,Który aktor gra postać „Tommy'ego Jarvisa” w „Piątek trzynastego: Ostatni rozdział” (1984)?,Corey Feldman,Mel Gibson-Macaulay Culkin-Mark Hamill-Corey Feldman-
44,Filmy,"W którym roku Jason utonął w serii ""Piątek trzynastego""?",1957,1953-1957-1959-1955-
45,Filmy,Kto wyreżyserował film Kill Bill?,Quentin Tarantino,David Lean-Arnold Schwarzenegger-Stanley Kubrick-Quentin Tarantino-
46,Filmy,Który z poniższych aktorów nie gra roli w filmie „Podejrzani”?,Steve Buscemi,Gabriel Byrne-Kevin Spacey-Benicio Del Toro-Steve Buscemi-
47,Gry Wideo,Która z poniższych osób stworzyła i wyreżyserowała serię Katamari Damacy?,Keita Takahashi,Shinji Mikami-Shu Takumi-Hideki Kamiya-Keita Takahashi-
48,Gry Wideo,Jakie jest naukowe imię Yoshiego w serii Super Mario Bros.?,T. Yoshisaur Munchakoopas,Yossy-T. Yoshisotop Munchakoopas-Yoshi-T. Yoshisaur Munchakoopas-
49,Gry Wideo,"Jak długie są wszystkie przerywniki filmowe z Metal Gear Solid 4 (PS3, 2008) łącznie?",8 godzin,8 godzin-12 godzin-5 godzin-4 godziny-
50,Gry Wideo,Kto użyczył głosu Maxowi Payne'owi w grze „Max Payne” z 2001 roku?,James McCaffrey,Troy Baker-Sam Lake-Hideo Kojima-James McCaffrey-
